2.7,3.03,1
2.3,0.92,-1
1.83,0.56,-1
3,3.17,1
2.41,2.41,1
1.65,0.6,-1
1.39,0.7,-1
1.35,0.68,-1
2.61,2.88,1
1.28,0.47,-1
1.7,0.92,-1
2.48,2.37,1
2.53,2.61,1
2.63,2.68,1
1.48,0.66,-1
1.55,0.84,-1
2.85,2.94,1
2.4,2.19,1
2.95,2.97,1
2.65,2.33,1
1.98,0.96,-1
1.25,0.49,-1
3,3.25,1
1.3,1.22,1
2.86,3.19,1
2.42,2.69,1
2.95,2.74,1
2.35,2.53,1
2.7,2.98,1
2.6,2.68,1
2.45,2.43,1
2.4,2.64,1
3,3.04,1
3.15,3.29,1
2.45,2.68,1
3.25,3.56,1
2.64,2.63,1
3,3,1
2.85,2.65,1
3.25,3.17,1
3.1,3.39,1
2.75,2.92,1
2.88,3.54,1
2.72,3.27,1
2.45,2.99,1
3.88,3.74,1
3,2.79,1
2.6,2.9,1
2.96,2.78,1
3,3.25,1
2.86,3.19,1
2.42,2.69,1
2.95,2.74,1
2.35,2.53,1
